name,ID,Description
ARIE Granja do Ipê,2956,nature reserve in Brazil (ARIE)
PES Grão Mogol,2817,nature reserve in Brazil (PES)
ESEC Grão-Pará,4638,nature reserve in Brazil (ESEC)
MONAT Grota do Angico,4902,nature reserve in Brazil (MONAT)
PES Gruta da Lagoa Azul,2777,nature reserve in Brazil (PES)
MONAT Gruta da Lancinha,6064,nature reserve in Brazil (MONAT)
MONAT Gruta do Lago Azul,3497,nature reserve in Brazil (MONAT)
APA Gruta dos Brejões/Vereda do Romão Gramacho,2878,nature reserve in Brazil (APA)
MONAT Gruta Rei do Mato,2099,nature reserve in Brazil (MONAT)
MONAT Gruta Rei do Mato,6040,nature reserve in Brazil (MONAT)
APA Guadalupe,2795,nature reserve in Brazil (APA)
APA Guaibim,1026,nature reserve in Brazil (APA)
PES Guajará-Mirim,830,nature reserve in Brazil (PES)
APA Guajuma,786,nature reserve in Brazil (APA)
ESEC Guanabara,4456,nature reserve in Brazil (ESEC)
APA Guapimirim,980,nature reserve in Brazil (APA)
REBIO Guaporé,619,nature reserve in Brazil (REBIO)
REBIO Guará,3260,nature reserve in Brazil (REBIO)
ARIE Guará (ARIE),5022,nature reserve in Brazil (ARIE)
ESEC Guaraguaçu (ESEC),1186,nature reserve in Brazil (ESEC)
APA Guaraqueçaba (APA Estadual),1187,nature reserve in Brazil (APA)
APA Guaraqueçaba (APA Federal),977,nature reserve in Brazil (APA)
ESEC Guaraqueçaba (ESEC),937,nature reserve in Brazil (ESEC)
APA Guaratuba,1184,nature reserve in Brazil (APA)
RESEX Guariba,4256,nature reserve in Brazil (RESEX)
PES Guariba,4254,nature reserve in Brazil (PES)
RESEX Guariba-Roosevelt,1141,nature reserve in Brazil (RESEX)
REBIO Guaribas,852,nature reserve in Brazil (REBIO)
PARNA Guaricana,5405,nature reserve in Brazil (PARNA)
PES Guartelá,1176,nature reserve in Brazil (PES)
FES Guarulhos,5127,nature reserve in Brazil (FES)
ESEC Guaxindiba,3488,nature reserve in Brazil (ESEC)
PES Guirá,3439,nature reserve in Brazil (PES)
RESEX Gurupá-Melgaço,4637,nature reserve in Brazil (RESEX)
REBIO Gurupi,618,nature reserve in Brazil (REBIO)
APA Haras São Bernardo (APA),1005,nature reserve in Brazil (APA)
FLONA Humaitá,1329,nature reserve in Brazil (FLONA)
RBIOSF IBGE,2538,nature reserve in Brazil (RBIOSF)
PES Ibicatu,1284,nature reserve in Brazil (PES)
ESEC Ibicatu (ESEC),922,nature reserve in Brazil (ESEC)
REBIO Ibicuí Mirim,2312,nature reserve in Brazil (REBIO)
PES Ibiporã,2250,nature reserve in Brazil (PES)
FLONA Ibirama (FLONA),958,nature reserve in Brazil (FLONA)
APA Ibirapuitã (APA),940,nature reserve in Brazil (APA)
REBIO Ibirapuitã (REBIO),2716,nature reserve in Brazil (REBIO)
APA Ibitinga,976,nature reserve in Brazil (APA)
PES Ibitipoca,2116,nature reserve in Brazil (PES)
PES Ibitiriá,2297,nature reserve in Brazil (PES)
FLONA Ibura,4366,nature reserve in Brazil (FLONA)
RDS Igapó-Açu,4859,nature reserve in Brazil (RDS)
